,r,open,high,low,close,volume,rsrs,turnover,money,circulating_cap,MA5,MA10,MA60,MA20
2016-11-11,,2271.9644,2315.9608,2244.4325,2308.4288,18742960800.0,,,183410081952.0,154337428.0,,,,
2016-11-18,-0.0005002103595311443,2304.607,2338.5803,2297.7364,2307.2741,19869343900.0,,,189518088652.0,154397473.0,,,,
2016-11-25,0.037564804285715216,2304.7681,2394.7076,2304.7681,2393.9464,25905120900.0,,0.00022079721173892358,245553244269.0,154397473.0,,,,
2016-12-02,0.009424312925302046,2406.7025,2455.4294,2395.8125,2416.5077,39079676100.0,,0.00018704507969866536,399020392431.0,154397473.0,,,,
2016-12-09,-0.00214909308999922,2378.2099,2422.7765,2358.8712,2411.3144,25884964100.0,,4.327409648638751e-05,244534569659.0,154397473.0,2367.49428,,,
2016-12-16,-0.045203230238246905,2408.0861,2423.3928,2298.4339,2302.3152,23173980900.0,,-0.0003148901747637025,229385658718.0,154422421.0,2366.27156,,,
2016-12-23,-0.010353621432895088,2299.7136,2304.6006,2262.8781,2278.4779,15673588300.0,,-0.0005427570915194817,150047529488.0,154422421.0,2360.51232,,,
2016-12-30,0.0036956689375833643,2266.3837,2300.1599,2251.713,2286.8984,12730397700.0,,-8.12265192905742e-05,125957330432.0,154422421.0,2339.10272,,,
2017-01-06,0.009636589015060664,2285.2729,2326.4342,2285.2729,2308.9363,10498715900.0,,0.00019662396001859456,106477107839.0,154422421.0,2317.5884399999995,,,
2017-01-13,-0.00038160429111884134,2308.4423,2321.692,2291.0624,2308.0552,12718704200.0,,0.00011232349282724801,122351181057.0,154422421.0,2296.9365999999995,2332.2154399999995,,
2017-01-20,0.01695267080267405,2303.3177,2350.2614,2282.2431,2347.1829,13736609800.0,,0.00018621377838072892,137479796045.0,154422469.0,2305.910139999999,2336.0908499999996,,
2017-01-26,0.007175197126734349,2350.5468,2371.9263,2340.5341,2364.0244,7585215000.0,,0.0004940997261699672,77670591924.0,154553769.0,2323.019439999999,2341.7658799999995,,
2017-02-03,-0.010166984740089762,2367.5296,2368.9093,2338.198,2339.9894,1451595100.0,,-0.00032631544556163515,16092735126.0,154557402.0,2333.6376399999995,2336.370179999999,,
2017-02-10,0.012048772528627677,2346.4438,2374.4846,2323.9054,2368.1834,13179415200.0,,2.063150034651237e-05,138465001474.0,154557465.0,2345.4870599999995,2331.5377499999986,,
2017-02-17,-0.0023118141947958758,2369.6975,2389.3244,2360.9953,2362.7086,15850022100.0,,9.467585993890335e-05,167998419389.0,154557465.0,2356.4177399999994,2326.6771699999986,,
2017-02-24,0.011499005844393981,2361.7607,2410.3454,2361.5061,2389.8774,15091201200.0,,9.414630830693212e-05,156218564747.0,155096787.0,2364.9566399999994,2335.433389999999,,
2017-03-03,-0.017880331434574855,2384.92,2387.82,2338.8455,2347.1456,11203007500.0,,-9.119086382451474e-05,119493579140.0,155096787.0,2361.580879999999,2342.300159999999,,
2017-03-10,-0.0033707751236223505,2346.0369,2362.9632,2334.3363,2339.2339,11035305800.0,0.6216848233303333,-0.0002978286813420666,110921656395.0,155096787.0,2361.429779999999,2347.533709999999,,
2017-03-17,0.0033029189599209424,2337.3552,2376.5131,2328.6186,2346.9602,12574944500.0,0.6233014723167946,-9.74241045873381e-07,133108865706.0,155096787.0,2357.1851399999987,2351.336099999999,,
2017-03-24,0.007943935308319237,2352.1149,2373.5785,2330.1158,2365.6043,15576251800.0,0.60567013690417,0.00011232868287683104,180740277783.0,155206733.0,2357.764279999999,2357.091009999999,,2344.6532249999996
2017-03-31,-0.002473913325233647,2364.745,2381.7653,2335.2305,2359.752,14994155200.0,0.6654098690921656,5.641758420244253e-05,160218471567.0,155206731.0,2351.739199999999,2358.3479199999992,,2347.2193849999994
2017-04-07,0.0120857615546041,2369.4888,2395.121,2365.3402,2388.2714,11564907500.0,0.5378320920075571,0.00012859445670934132,124204088320.0,155206731.0,2359.964359999999,2360.7726199999993,,2351.2692499999994
2017-04-14,-0.013713265586147454,2388.5631,2391.9479,2344.6093,2355.5204,15121119700.0,0.4997046660808592,-1.840576210172902e-05,170341019220.0,155202785.0,2363.2216599999992,2362.32572,,2349.3479499999994
2017-04-21,-0.003330856315232847,2348.7513,2359.1835,2311.659,2347.6745,13169977800.0,0.8027157170980064,-0.0002003197000227012,148658308717.0,155202785.0,2363.3645199999996,2360.27483,,2345.9062899999994
2017-04-28,-0.000270650807852672,2344.1921,2360.2819,2323.6676,2347.0391,12751433100.0,0.756817191823828,-4.382440908168185e-05,148227712534.0,155202785.0,2359.6514799999995,2358.7078800000004,,2342.6925249999995
2017-05-05,-0.011264021975603262,2341.7482,2350.5147,2297.4492,2320.602,8668449000.0,0.6675394237807716,-0.00020646602249860314,98247021148.0,155202785.0,2351.8214799999996,2351.7803400000003,,2343.6068649999993
2017-05-12,0.023635030910082948,2309.2437,2375.6392,2298.318,2375.4495,13042858900.0,0.47112787384470317,0.00014404003467286222,151528170233.0,155202599.0,2349.2571,2354.61073,,2348.4554449999996
2017-05-19,-0.005804333032548266,2380.2743,2394.5172,2347.377,2361.6616,9958848100.0,0.39657208511668124,0.0002758194779264555,120474354356.0,155245846.0,2350.4853399999997,2356.8535,,2352.1936049999995
2017-05-26,0.04638789062751422,2359.9686,2483.7474,2358.7809,2471.2141,16152818700.0,0.3743820112706301,0.0003890822212899867,188307589425.0,155894397.6523,2375.193259999999,2369.27889,,2360.3074949999996
2017-06-02,0.0017196000945445796,2470.9351,2502.8461,2462.258,2475.4636,8430882200.0,0.6518760175649996,0.0008914009753620368,103185071869.0,155960241.74609998,2400.8781599999993,2380.26482,,2368.6779149999993
2017-06-09,0.01769749310795757,2468.9369,2536.9931,2442.2693,2519.2731,12918575600.0,0.8599874677545674,0.000234781366082612,154646022395.0,155960241.74609998,2440.6123799999996,2396.2169299999996,,2377.2824249999994
2017-06-16,-0.02638983443279717,2515.5759,2545.0373,2448.3106,2452.7899,10227048700.0,0.9790603630373872,-0.00013967845643835243,140057302272.0,155960241.74609998,2456.080459999999,2402.6687799999995,,2381.7206999999994
2017-06-23,0.03111085870012751,2455.0312,2544.6674,2453.3495,2529.0983,13186726900.0,1.0586628125474675,4.615495676835569e-05,173608943467.0,156059140.37109998,2489.5677999999994,2420.0265699999995,,2391.1761449999995
2017-06-30,0.008251676101320316,2531.2806,2560.8558,2529.2391,2549.9676,13332798400.0,0.9444815465967449,0.0004638386325557473,169581610709.0,156092473.71089998,2505.318499999999,2440.2558799999997,,2400.265354999999
2017-07-07,-0.0024745412451514857,2550.4968,2561.6364,2506.6818,2543.6576,10720368100.0,0.9422987060018684,8.38198830900629e-05,150267344585.0,156092473.71089998,2518.957299999999,2459.9177299999997,,2409.312804999999
2017-07-14,0.03118576179435464,2538.1582,2623.3154,2530.9276,2622.9835,17286882700.0,0.9827712317991464,0.0002590558612180912,209163978529.0,156396607.21089998,2539.699379999999,2490.1558799999993,,2420.9681099999993
2017-07-21,0.006187343534566636,2627.3746,2666.0446,2594.4247,2639.2128,21628618100.0,0.9914770059615758,0.0002717768567718811,266002343071.0,156475219.27339998,2576.9839599999987,2516.53221,,2435.57147
2017-07-28,-0.0010681594148072137,2636.5514,2667.7864,2610.5758,2636.3937,15529382600.0,0.9753531340192793,5.1514820647971367e-05,188280615574.0,156475621.6797,2598.443039999999,2544.00542,,2450.42946
2017-08-04,-0.0032586559435338115,2633.8821,2696.6417,2626.1827,2627.8026,16446576700.0,0.9772864615333485,-4.1134126974353845e-05,218256144251.0,156480040.9297,2614.0100399999988,2559.6642699999998,,2464.47158
2017-08-11,-0.021898943246345833,2621.546,2641.3412,2566.5727,2570.2565,13991892700.0,0.9747764528534839,-0.0002805550073795084,185655162295.0,156480040.9297,2619.3298199999986,2569.1435599999995,,2474.70419
2017-08-18,0.016733038122848914,2572.3008,2623.0837,2567.6009,2613.2647,11484062000.0,0.958727555412145,-7.538281683891423e-05,153439906303.0,156480040.9297,2617.3860599999985,2578.54272,,2487.379825
2017-08-25,0.035579021137812694,2619.0381,2706.7039,2610.257,2706.2421,15867981000.0,0.959345090364409,0.0005217397691687225,192638262883.0,156480115.4297,2630.7919199999988,2603.8879399999996,,2503.2783600000002
2017-09-01,0.0014324291237653316,2715.4696,2766.79,2700.1618,2710.1186,22109171500.0,0.9380640259999954,0.00026231335391409944,277073629315.0,156480115.4297,2645.5368999999982,2621.9899699999996,,2521.0082700000003
