,0,600000.XSHG,600016.XSHG,600019.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600048.XSHG,600050.XSHG,600104.XSHG,600111.XSHG,600276.XSHG,600309.XSHG,600340.XSHG,600519.XSHG,600547.XSHG,600585.XSHG,600606.XSHG,600690.XSHG,600703.XSHG,600887.XSHG,600958.XSHG,600999.XSHG,601006.XSHG,601088.XSHG,601166.XSHG,601169.XSHG,601186.XSHG,601211.XSHG,601229.XSHG,601288.XSHG,601318.XSHG,601328.XSHG,601336.XSHG,601360.XSHG,601390.XSHG,601398.XSHG,601601.XSHG,601628.XSHG,601668.XSHG,601688.XSHG,601766.XSHG,601800.XSHG,601818.XSHG,601857.XSHG,601878.XSHG,601881.XSHG,601988.XSHG,601989.XSHG,603993.XSHG,
2005/8/12,2005/8/12,90000,187636,387700,280000,100000,40000,270010,,650000,98280,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2309245
2005/8/19,2005/8/19,90000,187636,472994,280000,100000,54000,270010,,650000,98280,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408539
2005/8/26,2005/8/26,90000,187636,472994,280000,100000,54000,270010,,650000,98280,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408539
2005/9/2,2005/9/2,90000,187636,472994,280000,100000,54000,270010,,650000,98280,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408539
2005/9/9,2005/9/9,90000,187705,472994,280000,100000,54000,270010,,650000,98280,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408608
2005/9/16,2005/9/16,90000,187705,472994,280000,100000,54000,270010,,650000,98280,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408608
2005/9/23,2005/9/23,90000,187705,472994,280000,100000,54000,270010,,650000,98280,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408608
2005/9/30,2005/9/30,90000,193883,472994,280000,100000,54000,273362,,650000,98280,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418138
2005/10/14,2005/10/14,90000,193883,472994,280000,100000,54000,273362,,650000,98280,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418138
2005/10/21,2005/10/21,90000,193883,472994,280000,100000,54000,273362,,650000,98280,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418138
2005/10/28,2005/10/28,90000,291292,472994,280000,100000,54000,273362,,650000,131695,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2548962
2005/11/4,2005/11/4,90000,291292,472994,280000,100000,54000,273362,,650000,131695,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2548962
2005/11/11,2005/11/11,90000,291292,472994,280000,100000,54000,273362,,650000,131695,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2548962
