,open,close,high,low,volume,money,r,rsrs
2005-01-10,836.99,832.986,836.99,819.44,1535163100.0,8404724081.0,,
2005-01-17,833.209,811.554,845.548,810.002,1305884700.0,6698001762.0,,
2005-01-24,811.316,842.414,851.244,798.354,2456013700.0,12252862581.0,0.011318317474723462,
2005-01-31,839.715,813.753,844.071,810.722,1509522400.0,7978762368.0,0.00270961636563934,
2005-02-16,812.563,875.46,884.986,812.152,3001502500.0,16669499738.0,0.03922774312867551,
2005-02-23,876.636,877.914,889.982,855.416,2561935400.0,14300913385.0,0.0788457922735768,
2005-03-02,875.726,855.879,888.791,855.283,2599860400.0,15323767479.0,-0.022366527311356334,
2005-03-09,854.789,869.403,880.494,851.434,2135070700.0,12336363095.0,-0.00969457145005088,
2005-03-16,869.024,832.823,869.099,829.399,2436289200.0,14241406708.0,-0.026938387318768235,
2005-03-23,833.711,801.981,835.686,798.005,1784363700.0,9914980266.0,-0.07754976690901691,
2005-03-30,800.805,790.58,812.33,790.192,1480197900.0,8205668234.0,-0.050722662558550784,
2005-04-06,788.006,816.879,834.557,783.982,2452296100.0,13559739924.0,0.01857649994201861,
2005-04-13,819.034,835.628,842.477,815.216,2749277300.0,15811527011.0,0.05698095069442687,
2005-04-20,840.241,798.517,841.171,793.902,1842747400.0,10406721550.0,-0.02247823729095737,
2005-04-27,796.117,782.432,803.413,781.946,1940496300.0,10264911360.0,-0.06365990608261095,
2005-05-11,779.699,771.586,798.212,764.848,1982165200.0,10799017011.0,-0.03372627007314814,
2005-05-18,770.818,752.662,771.573,741.83,1846672400.0,9712766119.0,-0.038048034845200585,
2005-05-25,752.981,737.538,760.016,726.274,1541089700.0,7347320124.0,-0.044127291060231784,
2005-06-01,737.098,719.025,741.355,717.68,1412060400.0,6782717531.0,-0.044690711102726134,0.8860596089406145
2005-06-08,716.797,772.134,775.001,693.528,3007434700.0,14715993887.0,0.046907413584113634,0.9726225597575626
2005-06-15,774.301,745.216,790.391,743.55,4231507500.0,21453801595.0,0.03642571537846394,0.8130710115734949
2005-06-22,745.202,774.15,781.812,742.96,2816621500.0,13740697500.0,0.002610945768480552,0.8125326351066036
2005-06-29,773.584,772.02,786.482,764.424,2192150500.0,10162757550.0,0.03596809515630364,0.8215960952295444
2005-07-06,770.961,734.768,770.961,732.471,1719378500.0,8689719589.0,-0.050871278176064,0.8227778159236938
2005-07-13,733.871,748.55,756.252,721.854,1960005300.0,9632734077.0,-0.030400766819512485,0.8044574567569932
2005-07-20,746.671,753.546,759.27,743.132,1752854900.0,8447948869.0,0.025556366091065506,0.7851897906402303
2005-07-27,753.448,792.489,792.737,750.74,3552297600.0,17004687885.0,0.058698817714247654,0.7500492073707236
2005-08-03,792.546,797.744,805.123,785.785,2929922800.0,13396800129.0,0.058653353610794795,0.6713406342144077
2005-08-10,796.072,822.164,822.242,792.622,3049569500.0,15162182250.0,0.0374453146983743,0.6165340759127717
2005-08-17,822.571,833.838,842.841,817.79,4499805800.0,23573315786.0,0.045245091157062836,0.6378185932489533
2005-08-24,841.703,825.453,843.322,809.222,4593100600.0,22521736439.0,0.0040004184080061735,0.6500830727738645
2005-08-31,825.547,816.755,828.738,806.577,2670203600.0,12962767477.0,-0.020487192955945845,0.6575798373251662
2005-09-07,817.229,825.118,832.454,812.989,3000714300.0,15117557357.0,-0.0004058377642336059,0.6368619941966719
2005-09-14,826.648,834.013,834.265,818.965,2842368600.0,14383734483.0,0.021129959412553384,0.6543430673994071
2005-09-21,834.444,811.135,834.999,810.106,2634825600.0,13233511004.0,-0.016946667022171447,0.6573860044399071
2005-09-28,808.892,782.998,809.352,780.765,2041286500.0,10471355421.0,-0.061168111288433136,0.6647469734477
2005-10-12,784.151,795.324,797.971,784.151,1579896600.0,8213499654.0,-0.01949243960623082,0.6494505405397764
2005-10-19,795.053,769.682,797.594,765.707,1910701800.0,9861163576.0,-0.017006429135195785,0.5928654727199829
2005-10-26,768.619,749.125,777.857,747.002,2233187900.0,10505656004.0,-0.0580882759730625,0.7619205825696053
2005-11-02,747.505,762.938,768.098,742.228,2332635600.0,10447788661.0,-0.008762060175501088,0.8040807528366427
2005-11-09,763.06,756.171,767.118,749.212,1925501400.0,8926934834.0,0.009405639913232169,0.8336125562904269
2005-11-16,756.21,744.138,756.562,733.032,1490091600.0,6784809580.0,-0.02464158293334446,0.8443941571303363
2005-11-23,743.8,754.156,765.042,739.579,2440537800.0,9917552761.0,-0.002664741176268463,0.8851957826412824
2005-11-30,753.435,759.633,770.842,751.9,2955379400.0,11688013697.0,0.020822750618836833,0.9081895918169695
2005-12-07,759.346,767.543,767.714,748.013,2047223900.0,9404326140.0,0.017750969295477405,0.8985646480753191
2005-12-14,767.782,778.494,780.694,762.462,2139921000.0,10569158421.0,0.024829095102503432,0.954579507381567
2005-12-21,778.474,783.984,791.636,776.014,2172457000.0,10140777731.0,0.021420298276448396,0.9617348192973117
2005-12-28,783.155,793.54,798.339,781.937,2338987300.0,11334288692.0,0.019327059681898556,0.9529578526047556
2006-01-06,793.316,836.895,842.692,793.12,4777272200.0,25476860098.0,0.0674898977530153,0.933674191975241
2006-01-13,837.76,831.136,842.062,826.965,4010884500.0,21786855393.0,0.047377573909317745,0.8995095887477597
2006-01-20,830.478,840.376,844.43,813.122,3739616200.0,18481921540.0,0.00415942262768925,0.8796578812633372
2006-02-07,840.962,856.669,863.964,834.749,4228641000.0,22732071929.0,0.03072060408886153,0.90923252231047
2006-02-14,856.937,862.648,863.445,848.432,3781833900.0,19228356854.0,0.02650242272506598,0.9669162825266379
2006-02-21,865.223,872.565,872.739,853.147,4056067200.0,21446043434.0,0.01855559148282484,0.9330899889315247
2006-02-28,873.373,892.904,894.829,866.759,4151860400.0,22642408471.0,0.03507340189741351,0.9352260093392661
2006-03-07,893.49,861.865,897.103,860.451,3986664500.0,21311438865.0,-0.012262696761845873,0.9626390926774094
2006-03-14,860.122,860.874,866.022,852.086,2378612500.0,13000933596.0,-0.035871717452268075,0.9948794777118715
2006-03-21,860.704,875.232,881.282,858.96,2742130300.0,14715539659.0,0.015509389521560757,0.9869235267423095
2006-03-28,875.096,874.773,877.292,864.392,3030910600.0,16116447400.0,0.016145219857958307,0.9897330323068716
2006-04-04,879.918,900.84,901.04,873.594,4242596300.0,23750909275.0,0.029258528024569557,0.9646536589496129
2006-04-11,901.675,912.391,916.267,891.389,4714865800.0,26989017048.0,0.04300315624739211,0.9705625512895647
2006-04-18,912.68,927.478,931.959,889.757,5244460100.0,26909993493.0,0.029570178944096533,0.9790190041163767
2006-04-25,932.469,931.323,955.869,916.937,6616171400.0,37138945251.0,0.02074987587558406,0.9942192173513777
2006-05-09,930.683,1017.619,1019.643,928.915,7177967400.0,43882634210.0,0.09718936729496558,1.0133183143609057
2006-05-16,1021.32,1079.705,1117.431,1008.489,10085853900.0,65810143112.0,0.15932388655708057,1.0998958096071632
2006-05-23,1079.364,1058.991,1107.661,1046.89,10563026100.0,61666087545.0,0.04065568744294275,1.275987456753839
2006-05-30,1062.889,1092.251,1099.662,1034.222,6789044000.0,41277572907.0,0.01161984060460964,1.210947760220279
2006-06-06,1091.389,1100.56,1114.252,1070.9,8227847600.0,47738821227.0,0.039253402531277376,1.2520322748168873
2006-06-13,1102.151,1032.618,1102.151,1017.844,6341364100.0,40127981417.0,-0.05459642518065906,1.17279222400303
2006-06-20,1027.189,1060.542,1062.228,1011.895,3934744700.0,24815660939.0,-0.036361488696663544,1.2042023385544358
2006-06-27,1060.539,1081.131,1088.837,1043.739,4228013100.0,26061191351.0,0.04698058720649858,1.1971367250302487
2006-07-04,1080.012,1115.169,1129.543,1073.185,5982008600.0,36111778125.0,0.05150856826038024,1.1620587638009463
2006-07-11,1114.561,1101.82,1114.637,1082.715,4502009500.0,29441912639.0,0.019136441374819377,1.139347488869557
2006-07-18,1102.797,1064.746,1106.655,1038.468,4610201500.0,29362204378.0,-0.045215568223291716,1.0923474518538625
2006-07-25,1063.162,1068.106,1071.939,1034.739,3233916900.0,19197626001.0,-0.030598464358969655,1.0985117996939566
2006-08-01,1070.261,1011.146,1077.085,1009.372,3372449700.0,19335472631.0,-0.050340644623224816,1.060052797130859
2006-08-08,1011.165,994.537,1016.686,974.844,2793959700.0,15574412714.0,-0.06887799525515254,1.034049406151693
2006-08-15,996.449,1007.798,1016.708,988.988,2805703400.0,15964590415.0,-0.0033110945402542824,0.9816561240843248
2006-08-22,1008.473,1018.508,1023.693,982.896,2897447800.0,16547049215.0,0.024102672902063978,0.9224019169542577
2006-08-29,1017.464,1049.64,1060.61,1014.17,3677112300.0,22932280857.0,0.04151824075856481,0.8471120181878401
2006-09-05,1047.561,1052.166,1056.807,1032.532,3573724600.0,20722465764.0,0.03304637764259083,0.742730814235579
2006-09-12,1052.913,1066.823,1070.018,1041.681,4123412200.0,22682588703.0,0.01637037460462634,0.555974949226194
2006-09-19,1068.417,1101.956,1108.723,1060.169,6944822900.0,37663970232.0,0.04732143026860777,0.5814549472672023
2006-09-26,1100.27,1077.302,1116.256,1072.322,4732664400.0,28408895422.0,0.009822622871835171,0.7844534910732159
2006-10-10,1076.493,1152.238,1160.619,1076.19,5802195700.0,33507959708.0,0.04562977106163963,0.7813949264838805
2006-10-17,1151.948,1125.442,1158.855,1122.217,5691679500.0,31098002214.0,0.04468570558673436,0.8568675938090281
2006-10-24,1124.725,1159.133,1161.298,1124.159,4680545400.0,26994766047.0,0.005984006776377781,0.84119384897743
2006-10-31,1161.276,1193.843,1194.173,1157.295,8621965700.0,44937506531.0,0.060777010276851284,0.901017268144054
2006-11-07,1194.636,1258.646,1259.29,1191.878,9193481300.0,52445069855.0,0.08585123536298243,0.9046909448167814
2006-11-14,1253.474,1262.158,1293.351,1227.624,10037090600.0,57197129429.0,0.05722276714777389,0.978747543291083
2006-11-21,1263.349,1376.632,1376.881,1255.331,13067156400.0,73115589363.0,0.093740416288615,1.020529239870084
2006-11-28,1372.681,1367.515,1403.871,1354.098,11969689700.0,71403402698.0,0.08347370139079276,1.1126251739821642
2006-12-05,1343.019,1500.475,1517.256,1333.14,12491265600.0,80526185284.0,0.08996086099988947,1.0694238495067583
2006-12-12,1500.562,1544.908,1560.234,1445.753,16414224000.0,98581582459.0,0.129719235255189,1.1490549552453173
2006-12-19,1548.22,1643.141,1666.214,1523.07,12144676900.0,83302388367.0,0.09508055782335606,1.166009759747778
2006-12-26,1632.663,1673.88,1692.829,1602.402,12371925700.0,85051078168.0,0.08348199374978978,1.1843354689992909
2007-01-05,1678.019,1815.12,1924.922,1676.474,20446942500.0,147095177896.0,0.10466478531057274,1.1367717099633787
2007-01-12,1813.619,1876.143,1977.879,1804.409,16784763900.0,135271484463.0,0.12083482686930958,1.1989969302630898
2007-01-19,1872.078,1995.532,2033.923,1872.078,15034026700.0,131292877056.0,0.09939397946141304,1.1894476007353607
2007-01-26,2020.0,2164.514,2176.347,2020.0,18001273400.0,168658560531.0,0.1537041686054848,1.166340236793514
2007-02-02,2181.872,1954.966,2251.567,1945.098,16107815400.0,143810309431.0,-0.02032841367615254,1.1372879260690405
2007-02-09,1943.056,2003.324,2031.536,1824.599,12922086200.0,118355171423.0,-0.07446937280146955,1.1679503989839997
2007-02-16,2004.216,2232.978,2266.426,2001.342,12210219400.0,114660386166.0,0.14220809978280963,1.1695438288910867
2007-03-02,2225.869,2069.074,2253.474,1996.564,15289587700.0,142525263056.0,0.03282045240809774,1.1894748076878605
2007-03-09,2062.032,2144.218,2171.84,1978.57,11739407000.0,109241573119.0,-0.03974960792269347,1.1906980644966414
2007-03-16,2146.979,2107.627,2154.734,2074.501,11706480900.0,114704016653.0,0.01863297301111506,1.1755212946334919
2007-03-23,2060.765,2200.042,2228.316,2054.926,13770130200.0,139092796815.0,0.026034666251286052,1.1130473929718343
2007-03-30,2204.769,2288.263,2351.348,2184.4,19712048200.0,195678929103.0,0.08570586730953815,1.0921153163931638
2007-04-06,2299.493,2390.642,2399.829,2299.493,14917269500.0,162897078900.0,0.08663470970099658,1.0578132791398143
2007-04-13,2398.856,2517.789,2551.061,2398.856,19038069000.0,221320009021.0,0.10030577778865467,1.0059644818548594
2007-04-20,2519.657,2547.501,2603.704,2380.32,18690486600.0,221385377112.0,0.06561375563551565,0.957414855228112
2007-04-27,2573.995,2681.3,2717.97,2570.481,19539070400.0,234552781259.0,0.0649422965943532,0.9727474244764251
2007-05-11,2715.886,2867.972,2903.708,2694.239,22999091200.0,295551264579.0,0.12579818418128197,0.9341997849925343
2007-05-18,2823.464,2854.318,2919.44,2731.82,16983225600.0,232191555726.0,0.06452765449595346,0.9394460684971557
2007-05-25,2763.768,2942.513,2958.739,2757.567,18926573000.0,256392149656.0,0.025990839520051,0.9209609686368482
2007-06-01,2976.756,2906.588,3055.873,2748.056,25308383000.0,357269940500.0,0.018312605673229114,0.9484306835680933
2007-06-08,2923.411,2856.019,2935.876,2493.312,17950970400.0,242122371398.0,-0.02939460250472985,0.9743144187788835
2007-06-15,2875.106,3035.778,3058.494,2856.993,16479508600.0,237617748064.0,0.044447303849048984,0.9676410338940334
2007-06-22,3090.167,3037.509,3155.969,2982.231,14883053300.0,224363594368.0,0.06354649601420728,0.9600129548698495
2007-06-29,3054.281,2915.882,3099.159,2860.716,12252218400.0,175179255571.0,-0.03949432402501096,0.9766250355661186
2007-07-06,2906.138,2860.735,2965.606,2700.756,9384644500.0,123381665788.0,-0.05819702921044839,0.9829004870944278
2007-07-13,2883.538,2970.342,2997.782,2858.922,8237824900.0,109826207283.0,0.018677024653261015,1.0070988916412473
