date,r,open,high,low,close,volume,rsrs,turnover,money,circulating_cap,MA5,MA10,MA20,MA60,,, ,,,,,,,circulating_market_cap(าฺิช),turn_over(v/c),turn_over(m/cmc),recog,Unnamed: 13,Unnamed: 14,turn_over(v/cc)
2007/11/16,-0.041608371,4025.828,4269.759,3951.329,4133.351,7789474600,1.006164932,-9.61E-05,1.51E+11,8295838,4348.1252,4310.1264,3866.69025,2608.20175,,,,,,,,,,,,,,,,
2007/11/23,-0.02045505,4141.198,4186.289,3844.179,3961.369,5890495300,0.974336462,-6.06E-05,1.17E+11,8295838,4241.4868,4295.0702,3918.9646,2656.711233,,,,,,,,,,,,,,,,
2007/11/30,0.0622943,4020.645,4038.478,3757.957,3880.339,6383038900,0.960120653,-7.98E-05,1.27E+11,8323600,4131.5588,4266.5475,3969.9448,2703.147733,,,,,,,,,,,,,,,,
2007/12/7,-0.027458102,3859.854,4128.779,3838.487,4122.062,5482916700,0.916472601,6.40E-05,1.05E+11,8650845,4047.3386,4259.0499,4027.5308,2753.61245,,,,,,,,,,,,,,,,
2007/12/14,0.017991817,4052.375,4216.53,3881.5,4008.878,7360774300,0.867904639,3.89E-05,1.54E+11,8650845,4021.1998,4229.196,4072.83525,2801.831783,,,,,,,,,,,,,,,,
2007/12/21,0.035714487,4002.988,4096.242,3826.917,4081.005,6298126400,0.819133,-1.37E-05,1.23E+11,8680845,4010.7306,4179.4279,4112.2165,2850.688883,,,,,,,,,,,,,,,,
2007/12/28,0.01323237,4112.524,4280.733,4096.67,4226.756,9768264000,0.749525457,4.87E-05,1.91E+11,8750918,4063.808,4152.6474,4147.5471,2901.9296,,,,,,,,,,,,,,,,
2008/1/4,0.0464197,4230.806,4296.024,4123.119,4282.686,7276602500,0.781581266,5.94E-05,1.44E+11,8750917.622,4144.2774,4137.9181,4176.2856,2953.898133,,,,,,,,,,,,,,,,
2008/1/11,-0.063713897,4279.916,4482.572,4255.499,4481.487,13496468900,0.794685894,4.02E-05,2.80E+11,8993489.622,4216.1624,4131.7505,4220.03355,3008.272867,,,,,,,,,,,,,,,,
2008/1/18,-0.076353554,4503.675,4524.289,4072.684,4195.954,11431675000,0.769947006,-1.59E-05,2.42E+11,8993489.622,4253.5776,4137.3887,4224.59835,3057.163283,,,,,,,,,,,,,,,,
2008/1/25,-0.096895224,4203.505,4212.012,3636.474,3875.578,12141505800,0.623209468,-0.000100148,2.27E+11,8993489.622,4212.4922,4111.6114,4210.8689,3099.7394,,,,,,,,,,,,,,,,
2008/2/1,0.076030277,3830.968,3830.968,3376.612,3500.053,8160880900,0.682655413,-0.000184619,1.50E+11,9084396.622,4067.1516,4065.4798,4180.275,3134.974633,,,,,,,,,,,,,,,,
2008/2/5,-0.031859216,3598.503,3817.614,3598.503,3766.163,3946767900,0.743833761,-6.80E-05,77678160734,9512296.622,3963.847,4054.0622,4160.30485,3173.904633,,,,,,,,,,,,,,,,
2008/2/15,-0.049359109,3697.534,3737.765,3593.167,3646.176,3298084500,0.772212326,0.000120411,62519034357,9512296.622,3796.7848,4006.4736,4132.76175,3210.442267,,,,,,,,,,,,,,,,
2008/2/22,0.001268823,3694.666,3805.392,3434.759,3466.204,8453998800,0.744256994,-8.96E-05,1.60E+11,9512296.622,3650.8348,3952.2062,4090.7011,3241.593733,,,,,,,,,,,,,,,,
2008/2/29,-0.021608931,3460.864,3490.931,3275.843,3470.602,6689549100,0.800035535,-7.03E-05,1.23E+11,9765540.622,3569.8396,3891.1659,4035.2969,3272.533133,,,,,,,,,,,,,,,,
2008/3/7,-0.09163519,3449.749,3566.156,3317.345,3395.606,7353636000,0.842667253,-2.83E-05,1.40E+11,10224233.62,3548.9502,3808.0509,3980.34915,3299.038,,,,,,,,,,,,,,,,
2008/3/14,-0.020382571,3366.965,3366.965,3028.328,3084.449,6446754900,0.844228767,-0.00018075,1.18E+11,10472827.62,3412.6074,3688.2272,3913.07265,3320.193483,,,,,,,,,,,,,,,,
2008/3/21,-0.036758583,3065.425,3075.739,2765.248,3021.58,8004944800,0.882815927,-0.000144109,1.37E+11,10472827.62,3287.6882,3542.2365,3836.9935,3339.2841,,,,,,,,,,,,,,,,
2008/3/28,-0.028134235,3056.434,3063.89,2714.384,2910.511,7817002800,0.893234187,-7.58E-05,1.31E+11,10502827.62,3176.5496,3413.6922,3775.54045,3354.53375,,,,,,,,,,,,,,,,
2008/4/3,0.013018335,2815.312,2891.169,2679.292,2828.626,7002319400,0.929071599,-9.58E-05,1.09E+11,10503039,3048.1544,3308.997,3710.3042,3365.602283,,,,,,,,,,,,,,,,
2008/4/11,-0.123571516,2803.881,3011.42,2751.582,2865.45,7642909900,0.942070061,-2.20E-05,1.24E+11,10871011,2942.1232,3245.5367,3655.50825,3380.777017,,,,,,,,,,,,,,,,
2008/4/18,0.188583326,2805.212,2815.333,2482.919,2511.362,6211634000,0.939702779,-0.000196295,93256281025,10871011,2827.5058,3120.0566,3587.0594,3389.244317,,,,,,,,,,,,,,,,
2008/4/25,0.047092711,2707.597,3075.825,2451.605,2984.963,14714856900,0.885726341,3.19E-05,2.25E+11,11256314,2820.1824,3053.9353,3530.20445,3401.7774,,,,,,,,,,,,,,,,
2008/4/30,-0.047142039,2936.426,3135.716,2894.648,3125.533,7812596500,0.901502137,0.000361385,1.30E+11,11544775,2863.1868,3019.8682,3486.0372,3419.38505,,,,,,,,,,,,,,,,
2008/5/9,0.010415054,3169.005,3184.107,2929.243,2978.189,11381309200,0.922559209,-2.30E-06,1.97E+11,11544775,2893.0994,2970.6269,3430.8964,3433.284567,,,,,,,,,,,,,,,,
2008/5/16,-0.056876114,2915.262,3075.217,2884.575,3009.207,8380914400,0.938576573,-5.75E-05,1.34E+11,12948331,2921.8508,2931.987,3370.01895,3448.3109,,,,,,,,,,,,,,,,
2008/5/23,-0.013130119,2999.409,3008.033,2752.154,2838.055,6904447700,0.875667048,-8.91E-05,1.03E+11,13074198,2987.1894,2907.3476,3297.7874,3458.94445,,,,,,,,,,,,,,,,
2008/5/30,-0.035347871,2812.514,2855.68,2726.86,2800.791,5207798900,0.821103357,-0.000173939,81969875487,13078917,2950.355,2885.2687,3213.7526,3467.486583,,,,,,,,,,,,,,,,
2008/6/6,-0.140276313,2792.242,2834.495,2687.224,2701.789,5965252300,0.80342938,-0.000105271,82430320898,13078917,2865.6062,2864.3965,3139.04435,3472.672367,,,,,,,,,,,,,,,,
2008/6/13,-0.021131896,2586.722,2597.477,2319.905,2322.792,5160477800,0.806488603,-0.000434221,67750459609,13129690,2734.5268,2813.8131,3061.40505,3469.422417,,,,,,,,,,,,,,,,
2008/6/20,-0.029638823,2329.583,2383.272,2152.312,2273.707,7722845500,0.86754786,-0.000269543,95508027977,13138014,2587.4268,2754.6388,3000.08775,3464.859183,,,,,,,,,,,,,,,,
2008/6/27,-0.058506099,2227.163,2357.445,2188.196,2206.317,6874281600,0.852506072,-9.74E-05,81350212301,13349956,2461.0792,2724.1343,2922.09545,3456.9428,,,,,,,,,,,,,,,,
2008/7/4,0.080987506,2176.895,2212.966,1992.347,2077.234,6129084500,0.896459726,-0.000188252,76627483474,13352603,2316.3678,2633.3614,2843.64835,3445.599583,,,,,,,,,,,,,,,,
2008/7/11,-0.038639675,2082.748,2319.015,2081.84,2245.464,10602265000,0.902436679,2.24E-05,1.28E+11,13356118,2225.1028,2545.3545,2782.61135,3435.22445,,,,,,,,,,,,,,,,
2008/7/18,0.049558994,2223.885,2280.948,2056.188,2158.7,7171664200,0.894845922,7.30E-05,81609840963,13356118,2192.2844,2463.4056,2717.01625,3423.630817,,,,,,,,,,,,,,,,
2008/7/25,-0.026481198,2132.443,2300.508,2127.075,2265.683,7865282500,0.908051542,1.53E-05,96148334479,13356118,2190.6796,2389.0532,2660.5201,3412.350317,,,,,,,,,,,,,,,,
2008/8/1,-0.067447981,2282.061,2318.081,2127.357,2205.685,5997350600,0.911414592,4.85E-05,71017405626,13360759,2190.5532,2325.8162,2616.5819,3400.6686,,,,,,,,,,,,,,,,
2008/8/8,-0.048345679,2185.163,2201.284,2044.81,2056.916,4946409600,0.935659944,-0.000248888,56711550415,13360759,2186.4896,2251.4287,2568.3487,3387.350217,,,,,,,,,,,,,,,,
