date,r,open,high,low,close,volume,rsrs,turnover,money,circulating_cap,MA5,MA10,MA20,MA60
уг,,,,,,,,,,,,,,
2006/6/9,0.015389866,1097.531,1114.252,1026.317,1031.458,8028516800,1.250493797,-1.16E-05,47321016233,3046210,1068.0518,993.0889,926.01755,830.4564833
2006/6/16,0.013443684,1024.272,1047.456,1011.895,1047.332,3845209600,1.215928006,-3.62E-05,24560484505,3047410,1067.3266,1009.9855,936.82735,834.4716
2006/6/23,0.038895358,1036.968,1067.865,1027.558,1061.412,4308533000,1.186510414,2.06E-05,26449433623,3049330,1060.3678,1026.3955,947.87915,838.4466333
2006/6/30,-0.003297373,1063.086,1117.054,1063.086,1102.696,4884114800,1.168239828,3.34E-05,29801978530,3086165,1068.0814,1045.6018,960.6645,842.8573
2006/7/7,-0.036217313,1108.026,1129.543,1082.715,1099.06,5769685700,1.145919953,2.11E-05,36655385796,3431620,1068.3916,1061.5205,972.619,847.5567333
2006/7/14,-0.002480989,1098.769,1106.655,1038.468,1059.255,4805691100,1.149217008,-2.82E-05,30705039634,3436059,1073.951,1071.0014,982.68205,851.964
2006/7/21,-0.00566709,1057.245,1068.567,1034.739,1056.627,3252728200,1.136680517,-4.08E-05,20089687576,3436059,1075.81,1071.5683,991.37455,856.41225
2006/7/28,-0.056922501,1044.865,1077.085,1037.342,1050.639,3362651700,1.105978007,-8.31E-06,19902651388,3436059,1073.6554,1067.0116,999.88795,861.3011667
2006/8/4,0.020997463,1049.695,1049.695,988.863,990.834,3019558900,1.084646901,-7.36E-05,16651314520,3569273,1051.283,1059.6822,1006.5725,865.2638833
2006/8/11,-0.003550674,984.261,1015.405,974.844,1011.639,2802393500,1.062040739,-4.73E-05,15613366221,3569273,1033.7988,1051.0952,1013.9911,870.0491667
2006/8/18,0.020078429,1011.974,1018.907,988.988,1008.047,2908600000,1.033665766,2.20E-05,16425886892,3686730,1023.5572,1048.7541,1020.9215,875.17605
2006/8/25,0.005302022,986.454,1033.822,982.896,1028.287,2899047200,0.970346489,2.09E-05,17768180412,3686730,1017.8892,1046.8496,1028.41755,879.53645
2006/9/1,0.016504166,1030.98,1060.61,1030.818,1033.739,3913208500,0.861711973,2.37E-05,23884029668,3645508,1014.5092,1044.0823,1035.2389,884.0624667
2006/9/8,0.041253331,1032.636,1059.147,1032.532,1050.8,3615548700,0.714376317,2.21E-05,20243231360,3645508,1026.5024,1038.8927,1042.24725,888.7038167
2006/9/15,2.74E-05,1051.751,1094.816,1045.18,1094.149,6647898200,0.852746045,3.20E-05,35363170081,3645508,1043.0044,1038.4016,1049.96105,894.4722
2006/9/22,0.019685079,1098.612,1116.256,1090.446,1094.179,5363944900,0.757533645,2.81E-05,31511372452,3645710,1060.2308,1041.894,1056.4477,900.5825833
2006/9/29,0.030349067,1092.407,1117.574,1072.322,1115.718,4060405600,0.79347307,1.77E-05,24369785497,3645797,1077.717,1047.8031,1059.6857,906.7025667
2006/10/13,0.002378262,1134.402,1160.619,1131.352,1149.579,7295949200,0.782684688,2.65E-05,39927227295,3811859,1100.885,1057.6971,1062.35435,913.05015
2006/10/20,0.010640338,1150.83,1161.298,1122.217,1152.313,4408775600,0.879778439,2.84E-05,25506945991,3811859,1121.1876,1073.845,1066.7636,919.1115
2006/10/27,0.046737262,1151.39,1181.061,1130.21,1164.574,7547684300,0.909428552,8.12E-06,40320942462,4697973,1135.2726,1089.1385,1070.11685,924.98225
2006/11/3,0.035706229,1163.184,1227.783,1160.242,1219.003,8675345400,0.969601213,3.17E-05,47085127855,4746427,1160.2374,1110.2341,1079.4941,931.5934833
2006/11/10,0.046321312,1210.056,1293.351,1205.582,1262.529,9691203000,1.053755987,4.12E-05,56849941711,4746427,1189.5996,1133.6583,1090.25395,939.00755
2006/11/17,0.049150234,1259.1,1322.096,1227.624,1321.011,11900697600,1.112146913,3.35E-05,65268089661,4762653,1223.886,1162.3855,1103.2339,947.3211167
