 ,r,open,high,low,close,volume,rsrs,turnover,money,circulating_cap,MA5,MA10,MA20,MA60
2005/1/7,0.006588022,836.99,836.99,819.44,823.616,1287222000,,,7002409806,1977992,,,,
2005/1/14,0.003383423,823.766,845.548,820.996,829.042,1228604100,,,6405685334,1977992,,,,
2005/1/21,-0.013413524,821.189,835.236,798.354,831.847,2132623000,,9.27E-06,10504363919,1977992,,,,
2005/1/28,0.063599,847.07,851.244,816.539,820.689,1899294000,,-1.05E-05,10090154594,1977992,,,,
2005/2/4,-0.019099903,817.93,877.391,810.722,872.884,2754658900,,3.54E-05,15174200547,1977992,835.6156,,,
2005/2/18,0.02603444,877.97,884.986,855.416,856.212,1221301500,,7.01E-05,6829053581,1977992,842.1348,,,
2005/2/25,-0.021643637,856.954,889.982,856.954,878.503,3048243000,,4.18E-06,17322018137,1977992,852.027,,,
2005/3/4,-0.006505028,878.553,878.657,851.434,859.489,2030159400,,3.73E-06,11912156942,1977992,857.5554,,,
2005/3/11,-0.038494059,859.659,880.494,847.811,853.898,2528180800,,-2.19E-05,14342494740,1977992,864.1972,,,
2005/3/18,-0.017786239,853.355,865.822,818.8,821.028,2099561700,,-4.22E-05,12620353352,1977992,853.826,844.7208,,
2005/3/25,0.020442075,820.421,825.855,795.84,806.425,1737889900,,-6.33E-05,9429600284,1977992,843.8686,843.0017,,
2005/4/1,0.018405415,805.41,834.557,783.982,822.91,1888192900,,2.41E-06,10249560480,1984547,832.75,842.3885,,
2005/4/8,-0.025012648,814.585,840.371,796.365,838.056,2707069200,,2.88E-05,15708319932,1984547,828.4634,843.0094,,
2005/4/15,-0.027261245,838.29,842.477,814.976,817.094,2273186000,,-6.17E-06,12737978393,1984547,821.1026,842.6499,,
2005/4/22,-0.006400199,814.551,815.472,790.104,794.819,1758130800,,-6.40E-05,9924296942,2180800,815.8608,834.8434,,
2005/4/29,-0.041062031,792.944,798.212,773.383,789.732,2142335600,,-3.41E-05,11242238566,2180800,812.5222,828.1954,,
