,0,600000.XSHG,600016.XSHG,600019.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600048.XSHG,600050.XSHG,600104.XSHG,600111.XSHG,600276.XSHG,600309.XSHG,600340.XSHG,600519.XSHG,600547.XSHG,600585.XSHG,600606.XSHG,600690.XSHG,600703.XSHG,600887.XSHG,600958.XSHG,600999.XSHG,601006.XSHG,601088.XSHG,601166.XSHG,601169.XSHG,601186.XSHG,601211.XSHG,601229.XSHG,601288.XSHG,601318.XSHG,601328.XSHG,601336.XSHG,601360.XSHG,601390.XSHG,601398.XSHG,601601.XSHG,601628.XSHG,601668.XSHG,601688.XSHG,601766.XSHG,601800.XSHG,601818.XSHG,601857.XSHG,601878.XSHG,601881.XSHG,601988.XSHG,601989.XSHG,603993.XSHG,
2005/8/19,75.42,75.42,102.45,218.52,122.64,26.9,26.51,180.37,,177.45,51.6,7.35,10.7,34.34,1.61,63.55,4.74,13.8,5.16,28.88,1.45,33.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1187.35
2005/8/26,76.59,76.59,106.2,214.27,129.36,26,26.62,184.42,,179.4,50.91,6.87,11.5,33.63,1.7,65.35,4.88,14.16,5.27,29.02,1.55,33.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201.18
2005/9/2,77.67,77.67,107.7,212.37,124.04,27.4,26.68,184.69,,180.05,49.34,7.07,11.8,34.03,1.75,68.24,4.94,14.76,5.57,29.49,1.58,34.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1203.19
2005/9/9,76.32,76.32,109.43,210.48,121.24,27.5,26.62,184.42,,173.55,51.01,7,12.07,33.29,1.75,67.21,5.58,14.36,5.52,30.77,1.65,34.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1194.72
2005/9/16,80.1,80.1,109.43,210.96,119,27.9,27.54,184.96,,174.85,51.01,7.27,12.45,33.72,1.81,68.79,5.8,14.44,5.75,30.57,1.74,33.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201.54
2005/9/23,73.53,73.53,100.61,203.86,114.52,26,28.35,171.19,,167.05,50.91,6.79,12.02,31.74,1.78,66.02,5.9,13.36,5.15,28.75,1.56,32.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141.97
2005/9/30,74.7,74.7,107.8,202.44,115.64,24.9,28.62,171.94,,165.75,50.71,6.65,12.18,33.1,1.7,66.75,6.2,14.66,5.02,28.34,1.6,34.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.77
2005/10/14,74.07,74.07,107.8,198.66,111.16,25.1,26.73,172.22,,163.8,50.71,6.55,12.13,32.56,1.68,61.46,6.55,14.26,4.95,28.21,1.6,35.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135.48
2005/10/21,78.48,78.48,107.8,190.14,110.32,24.6,27.11,176.32,,162.5,50.71,7.07,12.06,37.45,1.6,62.49,6.03,15.26,5.15,26.79,1.62,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141.1
2005/10/28,74.7,74.7,105.45,186.36,106.4,24.3,24.08,169.21,,165.1,42.01,6.07,11.81,34.74,1.47,64.19,5.83,15.26,5.15,25.17,1.42,37.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1106.09
2005/11/4,74.7,74.7,104.87,185.89,113.12,24.3,24.3,171.12,,167.7,41.62,6.25,11.05,35.22,1.65,63.77,5.54,15.72,4.81,25.85,1.45,37.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115.96
2005/11/11,74.97,74.97,105.45,179.74,115.08,25.9,24.19,167.02,,168.35,40.17,6.15,11.5,37.06,1.52,62.6,5.38,16.06,4.87,25.17,1.69,36.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109.31
2005/11/18,77.85,77.85,106.9,185.89,119,27.7,25.33,171.4,,172.9,41.35,6.39,11.36,36.15,1.58,61.14,5.82,16.76,4.79,26.25,1.64,36.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136.23
2005/11/25,78.57,78.57,108.65,189.67,116.76,26.8,26.41,174.95,,169.65,41.62,6.37,11.2,35.98,1.61,61.45,6.19,16.4,4.79,26.32,1.53,36.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141.9
2005/12/2,79.02,79.02,112.73,183.52,116.48,26.5,26.19,176.86,,171.6,41.09,5.96,11.04,35.19,1.6,60.09,6.13,16.7,4.62,26.25,1.52,34.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1138.01
2005/12/9,81.54,81.54,117.97,187.78,122.08,26.2,27.27,182.88,,176.8,42.01,6.09,10.45,35.93,1.62,57.87,6.55,16.3,4.57,26.39,1.44,36.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167.79
2005/12/16,83.79,83.79,118.85,187.78,122.92,26,27.65,184.27,,179.4,44.25,6.36,10.81,36.8,1.66,58.67,6.91,17.6,4.65,26.52,1.46,36.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182.74
2005/12/23,87.66,87.66,122.05,186.36,124.88,26.8,28.03,184.27,,184.6,43.46,6.25,11.21,38.7,1.63,59.49,6.68,18.98,4.79,26.45,1.45,37.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201.39
